,Entry,Formula,Structure,A,B,INT_AA_dist,INT_BB_dist,INT_AB_dist,INT_Asize,INT_Bsize,INT_Asize_by_Bsize,INT_AA_dist_by_2_by_Asize,INT_BB_dist_by_2_by_Bsize,INT_AB_dist_by_ABsizes,INT_Asize_ref,INT_Bsize_ref,INT_percent_diff_A_by_100,INT_percent_diff_B_by_100,INT_dist_AA_minus_ref_diff,INT_dist_BB_minus_ref_diff,INT_dist_AB_minus_ref_diff,INT_R_factor,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,WYK_A_lowest_wyckoff,WYK_B_lowest_wyckoff,WYK_identical_lowest_wyckoff_count,WYK_A_sites_total,WYK_B_sites_total,WYK_A_multiplicity_total,WYK_B_multiplicity_total,ENV_A_shortest_dist_count,ENV_B_shortest_dist_count,ENV_A_avg_shortest_dist_count,ENV_B_avg_shortest_dist_count,ENV_A_shortest_tol_dist_count,ENV_B_shortest_tol_dist_count,ENV_A_avg_shortest_dist_within_tol_count,ENV_B_avg_shortest_dist_within_tol_count,ENV_A_second_by_first_shortest_dist,ENV_B_second_by_first_shortest_dist,ENV_A_avg_second_by_first_shortest_dist,ENV_B_avg_second_by_first_shortest_dist,ENV_A_second_shortest_dist_count,ENV_B_second_shortest_dist_count,ENV_A_avg_second_shortest_dist_count,ENV_B_avg_second_shortest_dist_count,ENV_A_homoatomic_dist_by_shortest_dist,ENV_B_homoatomic_dist_by_shortest_dist,ENV_A_avg_homoatomic_dist_by_shortest_dist,ENV_B_avg_homoatomic_dist_by_shortest_dist,ENV_A_count_at_A_shortest_dist,ENV_A_count_at_B_shortest_dist,ENV_A_avg_count_at_A_shortest_dist,ENV_A_avg_count_at_B_shortest_dist,ENV_B_count_at_A_shortest_dist,ENV_B_count_at_B_shortest_dist,ENV_B_avg_count_at_A_shortest_dist,ENV_B_avg_count_at_B_shortest_dist,CN_AVG_coordination_number,CN_AVG_A_atom_count,CN_AVG_B_atom_count,CN_AVG_polyhedron_volume,CN_AVG_central_atom_to_center_of_mass_dist,CN_AVG_number_of_edges,CN_AVG_number_of_faces,CN_AVG_shortest_distance_to_face,CN_AVG_shortest_distance_to_edge,CN_AVG_volume_of_inscribed_sphere,CN_AVG_packing_efficiency,CN_MIN_coordination_number,CN_MIN_A_atom_count,CN_MIN_B_atom_count,CN_MIN_polyhedron_volume,CN_MIN_central_atom_to_center_of_mass_dist,CN_MIN_number_of_edges,CN_MIN_number_of_faces,CN_MIN_shortest_distance_to_face,CN_MIN_shortest_distance_to_edge,CN_MIN_volume_of_inscribed_sphere,CN_MIN_packing_efficiency,CN_MAX_coordination_number,CN_MAX_A_atom_count,CN_MAX_B_atom_count,CN_MAX_polyhedron_volume,CN_MAX_central_atom_to_center_of_mass_dist,CN_MAX_number_of_edges,CN_MAX_number_of_faces,CN_MAX_shortest_distance_to_face,CN_MAX_shortest_distance_to_edge,CN_MAX_volume_of_inscribed_sphere,CN_MAX_packing_efficiency
10,EntryWithCollCode53971,FeSb,Nickeline#NiAs,Fe,Sb,2.57,3.481,2.676,1.242,1.434,0.866,1.035,1.214,1.0,1.242,1.434,0.0,0.0,0.033,0.176,0.0,0.0,2.57,2.676,1.035,1.0,1.035,1.0,0.0,0.0,0.0,2,2,2,1,1,2,2,2,2,2.0,2.0,12,6,12.0,6.0,1.041,1.0,1.041,1.0,6,4,6.0,4.0,1.0,1.301,1.0,1.301,2,2,2.0,2.0,0,0,0.0,0.0,10.0,4.0,6.0,30.682,0.042,18.0,12.0,1.558,1.577,17.233,0.546,9.0,4.0,5.0,24.545,0.0,15.0,10.0,1.454,1.458,13.396,0.533,9.0,4.0,9.0,49.09,0.168,27.0,18.0,1.868,1.936,28.743,0.584
11,EntryWithCollCode646875,NiTb,TlI,Ni,Tb,2.585,3.439,2.814,1.246,1.764,0.706,1.037,0.975,0.935,1.181,1.633,-0.052,-0.074,0.086,0.05,0.0,0.008,2.585,2.814,1.037,0.935,1.095,1.0,0.074,0.052,0.0,4,4,2,1,1,4,4,2,2,2.0,2.0,2,7,2.0,7.0,1.089,1.016,1.089,1.016,2,4,2.0,4.0,1.0,1.222,1.0,1.222,2,2,2.0,2.0,0,0,0.0,0.0,13.0,4.5,8.5,78.275,0.11,33.0,22.0,2.225,2.236,50.043,0.628,13.0,4.5,8.5,78.275,0.11,33.0,22.0,2.225,2.236,50.043,0.628,13.0,4.5,8.5,78.275,0.11,33.0,22.0,2.225,2.236,50.043,0.628
12,EntryWithCollCode102712,CoU,CoU,Co,U,2.678,2.772,2.65,1.25,1.377,0.908,1.071,1.007,1.009,1.26,1.39,0.008,0.009,0.059,-0.003,0.0,0.0,2.678,2.65,1.071,1.009,1.063,1.0,0.009,0.008,0.0,8,8,2,1,1,8,8,1,1,1.0,1.0,4,4,4.0,4.0,1.011,1.046,1.011,1.046,3,3,3.0,3.0,1.011,1.046,1.011,1.046,0,1,0.0,1.0,1,0,1.0,0.0,11.375,5.5,5.875,51.034,0.1,28.125,18.75,1.97,1.955,32.15,0.632,11.0,5.5,5.5,48.53,0.056,27.0,18.0,1.942,1.922,30.694,0.629,11.0,5.5,7.0,58.547,0.233,31.5,21.0,2.054,2.054,36.519,0.633
13,EntryWithCollCode630842,ErNi,FeB,Er,Ni,3.536,2.461,2.818,1.734,1.246,1.392,1.02,0.988,0.946,1.627,1.191,-0.062,-0.044,0.08,0.032,0.0,0.006,2.461,2.818,0.988,0.946,1.033,1.0,0.062,0.044,0.0,4,4,2,1,1,4,4,1,2,1.0,2.0,7,2,7.0,2.0,1.002,1.145,1.002,1.145,1,1,1.0,1.0,1.255,1.0,1.255,1.0,0,0,0.0,0.0,1,2,1.0,2.0,11.75,7.25,4.5,67.802,0.11,29.25,19.5,2.054,2.16,41.378,0.578,8.0,3.5,4.5,36.876,0.085,18.0,12.0,1.568,1.845,17.71,0.45,8.0,8.5,4.5,78.11,0.183,33.0,22.0,2.216,2.265,49.268,0.621
14,EntryWithCollCode641992,LaSn,CaSi#AlTh,La,Sn,3.909,2.922,3.322,1.871,1.511,1.238,1.045,0.967,0.982,1.835,1.487,-0.019,-0.016,0.061,-0.018,0.0,0.001,2.922,3.322,0.967,0.982,0.982,1.0,0.019,0.016,0.0,4,4,2,1,1,4,4,4,2,4.0,2.0,5,2,5.0,2.0,1.024,1.137,1.024,1.137,1,4,1.0,4.0,1.177,1.0,1.177,1.0,0,0,0.0,0.0,4,2,4.0,2.0,13.0,8.5,4.5,126.226,0.168,33.0,22.0,2.605,2.698,80.665,0.623,13.0,8.5,4.5,126.226,0.168,33.0,22.0,2.605,2.698,80.665,0.623,13.0,8.5,4.5,126.226,0.168,33.0,22.0,2.605,2.698,80.665,0.623
15,EntryWithCollCode651558,SmSb,NaCl,Sm,Sb,4.434,4.434,3.135,1.793,1.434,1.25,1.236,1.546,0.971,1.737,1.398,-0.031,-0.025,0.217,0.369,0.0,0.002,4.434,3.135,1.236,0.971,1.276,1.0,0.031,0.025,0.0,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,102.705,0.0,18.75,12.5,2.371,2.561,72.209,0.654,6.0,3.0,3.0,41.082,0.0,12.0,8.0,1.81,2.217,24.838,0.605,6.0,9.0,3.0,123.246,0.0,21.0,14.0,2.558,2.676,87.999,0.67
16,EntryWithCollCode187622,NiSi,,Ni,Si,2.667,2.677,2.34,1.246,1.176,1.06,1.07,1.138,0.966,1.203,1.137,-0.035,-0.033,0.098,0.15,0.0,0.002,2.667,2.34,1.07,0.966,1.109,1.0,0.035,0.033,0.0,2,2,2,1,1,2,2,1,1,1.0,1.0,6,6,6.0,6.0,1.008,1.008,1.008,1.008,1,1,1.0,1.0,1.14,1.144,1.14,1.144,0,1,0.0,1.0,1,0,1.0,0.0,14.0,7.0,7.0,48.517,0.17,36.0,24.0,1.934,1.916,30.338,0.626,14.0,7.0,7.0,48.517,0.17,36.0,24.0,1.934,1.916,30.338,0.626,14.0,7.0,7.0,48.517,0.17,36.0,24.0,1.934,1.916,30.338,0.626
17,EntryWithCollCode624932,CoSc,CsCl,Sc,Co,3.16,3.16,2.737,1.641,1.25,1.313,0.963,1.264,0.947,1.544,1.193,-0.059,-0.045,0.023,0.245,0.0,0.006,3.16,2.737,0.963,0.947,1.024,1.0,0.059,0.045,0.0,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,63.109,0.0,36.0,24.0,2.355,2.234,54.732,0.867,14.0,7.0,7.0,63.109,0.0,36.0,24.0,2.355,2.234,54.732,0.867,14.0,7.0,7.0,63.109,0.0,36.0,24.0,2.355,2.234,54.732,0.867
18,EntryWithCollCode43054,FeGe,Fersilicite#FeSi,Fe,Ge,2.881,2.913,2.392,1.242,1.225,1.014,1.16,1.189,0.97,1.205,1.187,-0.03,-0.031,0.164,0.185,0.0,0.002,2.881,2.392,1.16,0.97,1.196,1.0,0.031,0.03,0.0,4,4,2,1,1,4,4,1,1,1.0,1.0,4,4,4.0,4.0,1.021,1.021,1.021,1.021,3,3,3.0,3.0,1.204,1.218,1.204,1.218,0,1,0.0,1.0,1,0,1.0,0.0,13.0,6.5,6.5,47.776,0.118,33.0,22.0,1.86,1.952,27.057,0.567,13.0,6.5,6.5,47.776,0.118,33.0,22.0,1.86,1.952,27.057,0.567,13.0,6.5,6.5,47.776,0.118,33.0,22.0,1.86,1.952,27.057,0.567
19,EntryWithCollCode180215,DySi,DySi(P21/n),Dy,Si,3.589,2.468,2.928,1.752,1.176,1.49,1.024,1.049,1.0,1.752,1.176,0.0,0.0,0.024,0.047,0.0,0.0,2.468,2.928,1.049,1.0,1.049,1.0,0.0,0.0,0.0,4,4,2,1,1,4,4,2,1,2.0,1.0,5,2,5.0,2.0,1.004,1.0,1.004,1.0,1,1,1.0,1.0,1.226,1.0,1.226,1.0,0,0,0.0,0.0,2,1,2.0,1.0,13.0,8.5,4.5,84.797,0.172,33.0,22.0,2.338,2.403,59.062,0.665,13.0,8.5,4.5,84.797,0.172,33.0,22.0,2.338,2.403,59.062,0.665,13.0,8.5,4.5,84.797,0.172,33.0,22.0,2.338,2.403,59.062,0.665
